Borough,Primary Property Type - Self Selected,Largest Property Use Type - Gross Floor Area (sqft),Year Built,Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Electricity Use - Grid Purchase (kBtu)
Manhattan,K-12 School,125000,1929,Not Available,Not Available,Not Available,Not Available,Not Available,12171074.9,,6591984.1
Manhattan,Multifamily Housing,304935,1900,Not Available,Not Available,Not Available,Not Available,Not Available,12662071,2331318,16847906.6
Manhattan,Multifamily Housing,325062,2005,Not Available,Not Available,Not Available,Not Available,Not Available,14118633.5,6354131.3,16572557.8
Manhattan,Multifamily Housing,377214,1920,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15509690.4,13966210.1
Manhattan,Multifamily Housing,488895,1997,Not Available,3181866.2,Not Available,Not Available,Not Available,Not Available,12816033.5,15027025.3
Manhattan,Multifamily Housing,810962,1926,Not Available,Not Available,Not Available,Not Available,Not Available,24107726.2,267923.8,22923221
Manhattan,Multifamily Housing,435277,1929,Not Available,Not Available,Not Available,Not Available,Not Available,7274220,11542376.2,18850408.4
Manhattan,Multifamily Housing,228121,1926,Not Available,Not Available,15949915.6,Not Available,Not Available,Not Available,3379915.8,6751259.6
Manhattan,Office,325318,1962,Not Available,Not Available,Not Available,Not Available,Not Available,20594709,,47345182.5
Manhattan,Other,84827,1931,Not Available,Not Available,Not Available,Not Available,Not Available,5310912.1,,4292293.6
Manhattan,Multifamily Housing,82073,1987,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3842255.1,3762981.1
Manhattan,Financial Office,61250,1907,Not Available,1963829.9,Not Available,Not Available,Not Available,Not Available,4615.6,6989390.3
Manhattan,Office,562260,1929,Not Available,Not Available,Not Available,Not Available,Not Available,25340620.2,,98894172.8
Manhattan,Office,760443,1983,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17251573.6,44653385
Manhattan,Mixed Use Property,468963,1972,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16160423.2,22636735
Manhattan,Office,3578561,1972,Not Available,Not Available,Not Available,Not Available,7114604.5,140415651.2,,267433863
Manhattan,Office,638447,1969,Not Available,Not Available,Not Available,Not Available,Not Available,33382898.2,,23040690.4
Manhattan,Multifamily Housing,464912,1969,Not Available,Not Available,Not Available,Not Available,Not Available,16195281.8,100,17928576.2
Manhattan,Office,1087240,1960,Not Available,Not Available,Not Available,Not Available,Not Available,73306672.8,,58094930.9
Manhattan,Multifamily Housing,89504,1956,Not Available,5313441.4,Not Available,Not Available,Not Available,Not Available,1083935.1,5368509.1
Manhattan,Office,1383600,1989,Not Available,Not Available,Not Available,Not Available,592847.9,45683283.1,1950878.9,148180287.6
Manhattan,Office,313918,1926,Not Available,Not Available,Not Available,Not Available,Not Available,4676946,,16710611.4
Manhattan,Multifamily Housing,83916,2004,Not Available,Not Available,Not Available,Not Available,Not Available,5564004.2,,4156175.7
Manhattan,Multifamily Housing,279600,1930,Not Available,Not Available,Not Available,Not Available,Not Available,9971894.2,1768200,12983008
Manhattan,Multifamily Housing,333600,2002,Not Available,5520274.7,Not Available,0,Not Available,Not Available,19815964.2,11296107.4
Manhattan,Office,527605,1911,Not Available,Not Available,Not Available,Not Available,Not Available,8703966551,,18114286.3
Manhattan,Office,331877,1927,Not Available,Not Available,Not Available,Not Available,Not Available,15310185.4,,14751615.6
Manhattan,Office,1155995,1929,Not Available,Not Available,Not Available,Not Available,Not Available,29242063.2,,47467941.2
Manhattan,Office,96245,1954,Not Available,Not Available,Not Available,Not Available,Not Available,3150070.7,,9770208.2
Manhattan,Multifamily Housing,583639,1928,Not Available,Not Available,Not Available,Not Available,Not Available,13291679780,1207433.6,21836207.5
Manhattan,Office,347572,1922,Not Available,Not Available,Not Available,Not Available,Not Available,1075396,,21266073.1
Manhattan,Office,968458,1912,Not Available,Not Available,Not Available,Not Available,Not Available,71134589.7,4271506.2,59967263.2
Manhattan,Office,491400,1984,Not Available,Not Available,Not Available,Not Available,Not Available,14300513.5,,13640209
Manhattan,Multifamily Housing,50445,1900,Not Available,Not Available,3609689.3,Not Available,Not Available,Not Available,,1293552
Manhattan,Multifamily Housing,60218,1900,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3264727.4,3081817.7
Manhattan,Multifamily Housing,54941,1929,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3480711.2,1491314.8
Manhattan,Multifamily Housing,67009,1903,Not Available,3312634.4,Not Available,Not Available,Not Available,Not Available,145561,3636581.6
Manhattan,Hotel,315543,2010,Not Available,Not Available,Not Available,Not Available,Not Available,7140119994,,7379435.8
Manhattan,Multifamily Housing,250471,1926,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9075733.4,8499372.2
Manhattan,Hotel,329999,1990,Not Available,Not Available,Not Available,Not Available,Not Available,22744230.5,67453504.7,9890954.7
Manhattan,Office,502238,1921,Not Available,Not Available,Not Available,Not Available,Not Available,29354814.4,,15495939.5
Manhattan,Hotel,183235,2009,Not Available,Not Available,Not Available,Not Available,Not Available,10320968,864051.2,10362386.3
Manhattan,Office,586218,1973,Not Available,Not Available,Not Available,Not Available,Not Available,71536433.6,,56946280
Manhattan,Multifamily Housing,160372,1909,Not Available,Not Available,Not Available,Not Available,Not Available,9596647.9,1502992.9,4566397.1
Manhattan,Office,232453,1600,Not Available,Not Available,Not Available,Not Available,Not Available,6626222.3,,11872060.7
Manhattan,Office,145000,1908,Not Available,Not Available,7334747.7,Not Available,Not Available,Not Available,803370,7968316
Manhattan,Office,134840,1908,Not Available,Not Available,Not Available,Not Available,Not Available,3019834.6,,5337422.3
Manhattan,Multifamily Housing,53562,1900,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6502859.5,1315937.8
Manhattan,Multifamily Housing,159000,1927,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6286043.1,5039648
Manhattan,Office,801685,1924,Not Available,Not Available,Not Available,Not Available,Not Available,49338991.7,1931319.8,50156056
Manhattan,Office,1073000,1965,Not Available,Not Available,Not Available,Not Available,Not Available,72475402.3,,29965549.6
Manhattan,Office,617356,1986,Not Available,Not Available,Not Available,Not Available,Not Available,10081634.6,,30826983.2
Manhattan,Office,136764,1959,Not Available,Not Available,Not Available,Not Available,Not Available,7702361.1,279644.1,9368979.8
Manhattan,Office,155026,1925,Not Available,Not Available,Not Available,Not Available,Not Available,3091826465.6,1750312.9,7969780.1
Manhattan,Hotel,71539,1999,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3520169.7,4187164.7
Manhattan,Office,381163,1972,Not Available,Not Available,Not Available,Not Available,Not Available,28156466160,,48747505.4
Manhattan,Multifamily Housing,135466,1927,Not Available,Not Available,Not Available,Not Available,Not Available,4709527,2044115.2,4758149.3
Manhattan,Multifamily Housing,112074,1967,Not Available,Not Available,Not Available,Not Available,Not Available,3994904764,310433.3,5648369.2
Manhattan,Multifamily Housing,221313,2008,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2622790.9,9364579.1
Manhattan,Multifamily Housing,636074,2000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,41067661.1,17568430.1
Manhattan,Office,342310,1931,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9163300,12247714.6
Manhattan,Multifamily Housing,377672,1998,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,11878143.3
Manhattan,Multifamily Housing,53540,1917,Not Available,4041495.8,Not Available,Not Available,Not Available,Not Available,,1640972
Manhattan,Office,600000,1982,Not Available,Not Available,Not Available,Not Available,Not Available,12574096.4,1212999.9,41606128.5
Manhattan,Hotel,70044,2010,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,1905682.4
