Borough,Primary Property Type - Self Selected,Largest Property Use Type - Gross Floor Area (sqft),Year Built,Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Electricity Use - Grid Purchase (kBtu)
Manhattan,Multifamily Housing,85127,1955,Not Available,Not Available,0,Not Available,Not Available,Not Available,4379518.2,625743.9
Manhattan,Multifamily Housing,459259,1987,Not Available,15385345.1,Not Available,Not Available,Not Available,Not Available,678735.5,12178883.5
Manhattan,Multifamily Housing,104800,1925,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9163352.9,3380959.5
Manhattan,Multifamily Housing,112000,1922,Not Available,7814525.9,Not Available,Not Available,Not Available,Not Available,,2548194.2
Manhattan,Multifamily Housing,65031,1900,Not Available,2860829.5,Not Available,Not Available,Not Available,Not Available,821096.9,784930.1
Manhattan,Multifamily Housing,69072,1923,Not Available,Not Available,3771077.8,Not Available,Not Available,Not Available,120909.1,1056933.2
Manhattan,Multifamily Housing,150806,1932,Not Available,Not Available,Not Available,11733549.9,Not Available,Not Available,199531,3680149.7
Manhattan,Multifamily Housing,140836,1945,Not Available,5377997.8,Not Available,Not Available,Not Available,Not Available,2596330.3,2412480.4
Manhattan,Multifamily Housing,80328,1924,Not Available,0,Not Available,Not Available,Not Available,Not Available,3016300.1,1106829.2
Manhattan,Multifamily Housing,125000,1903,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8521800.4,8201438.6
Manhattan,Multifamily Housing,248628,1903,Not Available,Not Available,14341433.2,Not Available,Not Available,Not Available,8800,4918739.2
Manhattan,Multifamily Housing,105772,1929,Not Available,Not Available,5607713.6,0,Not Available,Not Available,,1393600.2
Manhattan,Multifamily Housing,352821,1931,Not Available,0,Not Available,0,Not Available,Not Available,16817999.1,4637181.4
Manhattan,Multifamily Housing,75367,1912,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4338799.9,1334750.6
Manhattan,Multifamily Housing,70563,1986,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3166272.4,627867.4
Manhattan,Multifamily Housing,68821,1907,Not Available,3790349.5,Not Available,Not Available,Not Available,Not Available,224903.3,1115679.6
Manhattan,Multifamily Housing,470720,1987,Not Available,23271133.4,Not Available,Not Available,Not Available,Not Available,264110.8,13460258.3
Manhattan,Multifamily Housing,75000,1913,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4912872.7,1033013.9
Manhattan,Multifamily Housing,54000,1900,Not Available,Not Available,4458548,Not Available,Not Available,Not Available,99597.9,1287203.7
Manhattan,Multifamily Housing,255393,1984,Not Available,Not Available,15034787.6,Not Available,Not Available,Not Available,2388076,9168836.2
Manhattan,Multifamily Housing,148250,1920,Not Available,6857027.6,Not Available,Not Available,Not Available,Not Available,220436,1860979.8
Manhattan,Multifamily Housing,42734,1910,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5050689.9,2639931.7
Manhattan,Multifamily Housing,58000,1928,Not Available,5381999.9,Not Available,Not Available,Not Available,Not Available,,698696.8
Manhattan,Multifamily Housing,69025,1922,Not Available,4312389.9,Not Available,Not Available,Not Available,Not Available,125149,872324.8
Manhattan,Multifamily Housing,164530,1924,Not Available,Not Available,6612486,Not Available,Not Available,Not Available,307600,4253327.7
Manhattan,Multifamily Housing,96058,1923,Not Available,Not Available,5130585.8,Not Available,Not Available,Not Available,154411.7,2113453.3
Manhattan,Multifamily Housing,103957,1963,Not Available,Not Available,8393977.9,0,Not Available,Not Available,,2669468.5
Manhattan,Multifamily Housing,76626,1915,Not Available,Not Available,5364332.1,Not Available,Not Available,Not Available,1857180.7,1515097.9
Manhattan,Multifamily Housing,100615,1916,Not Available,5784684.1,Not Available,0,Not Available,Not Available,,1441936.4
Manhattan,Multifamily Housing,157606,1986,Not Available,Not Available,9784190.1,Not Available,Not Available,Not Available,229782.7,3742801.2
Manhattan,Multifamily Housing,173167,1914,Not Available,Not Available,9038859.7,Not Available,Not Available,Not Available,,3553837.8
Manhattan,Multifamily Housing,117470,1910,Not Available,1062972.6,Not Available,3539684.9,Not Available,Not Available,,1536462.9
Manhattan,Multifamily Housing,275833,1915,Not Available,15363512.5,Not Available,0,Not Available,Not Available,,5614261.6
Manhattan,Multifamily Housing,167416,1925,Not Available,Not Available,8756496.4,Not Available,Not Available,Not Available,365904.3,3017209.1
Manhattan,Multifamily Housing,153178,1925,Not Available,496938,Not Available,Not Available,Not Available,Not Available,10454228,4041972.2
Manhattan,Multifamily Housing,177048,1912,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11584440.4,3110915.1
Manhattan,Multifamily Housing,114931,1920,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,
Manhattan,Multifamily Housing,153253,1985,Not Available,Not Available,8995702.2,Not Available,Not Available,Not Available,1191609.1,6974916.1
Manhattan,Multifamily Housing,90827,1920,Not Available,Not Available,6004322.9,Not Available,Not Available,Not Available,3634968.9,2564068.6
Manhattan,Multifamily Housing,189237,1923,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9212698.8,5159719.5
Manhattan,Multifamily Housing,194739,1922,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7801558.1,2897573.6
Manhattan,Multifamily Housing,118031,1928,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8269400.2,
Manhattan,Multifamily Housing,141034,1917,Not Available,6147057.9,Not Available,Not Available,Not Available,Not Available,2529850.2,2717006.3
Manhattan,Multifamily Housing,62878,1920,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,697734,1632055.3
Manhattan,Multifamily Housing,64452,1913,Not Available,Not Available,4905818.6,Not Available,Not Available,Not Available,,900600.6
Manhattan,Multifamily Housing,72431,1926,Not Available,4361131.1,Not Available,0,Not Available,Not Available,,1457923.7
Manhattan,Multifamily Housing,236860,1927,Not Available,Not Available,21390241.8,Not Available,Not Available,Not Available,,7549265
Manhattan,Multifamily Housing,146880,1959,Not Available,Not Available,8909358.7,Not Available,Not Available,Not Available,2172256,2544243
Manhattan,Multifamily Housing,223179,1924,Not Available,Not Available,Not Available,14257050.4,Not Available,Not Available,338400,3662341.8
Manhattan,Multifamily Housing,58515,1934,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3667099.8,1814314
Manhattan,Multifamily Housing,58514,1934,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5570600.1,2289475.8
Manhattan,Multifamily Housing,129000,2006,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2279599.7,6048905.7
Manhattan,Multifamily Housing,199483,1927,Not Available,Not Available,8945565.9,Not Available,Not Available,Not Available,391900,2615263.9
Manhattan,Multifamily Housing,120178,1916,Not Available,Not Available,7290948.1,0,Not Available,Not Available,,2456169.5
Manhattan,Multifamily Housing,162540,1917,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6206187.1,1724868.3
Manhattan,Multifamily Housing,246724,1969,Not Available,Not Available,Not Available,Not Available,Not Available,19086465.7,728266.6,5436039.8
Manhattan,Multifamily Housing,92000,1925,Not Available,5530350.1,Not Available,Not Available,Not Available,Not Available,,1325379.6
Manhattan,Hotel,191868,1916,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11371999.9,8440878.9
Manhattan,Multifamily Housing,99494,1927,Not Available,Not Available,Not Available,2953545.2,Not Available,Not Available,2454000.1,1618526.5
Manhattan,Multifamily Housing,272015,2000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16564756.5,13856524.7
Manhattan,Multifamily Housing,56778,1948,Not Available,Not Available,3007600,Not Available,Not Available,Not Available,144873,1205901.9
Manhattan,Multifamily Housing,164145,1986,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10936324.7,6098672.2
Manhattan,Multifamily Housing,106258,1951,Not Available,Not Available,4653910.4,Not Available,Not Available,Not Available,186075,1265876
Manhattan,Hotel,80636,1906,Not Available,Not Available,Not Available,5964755.2,Not Available,Not Available,129914,1750953.1
Manhattan,Multifamily Housing,147290,1936,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9541222.9,2203591.1
Manhattan,Multifamily Housing,290763,1927,Not Available,Not Available,14606132.7,0,Not Available,Not Available,,3952915.6
Manhattan,Multifamily Housing,240040,1925,Not Available,Not Available,14013371.4,Not Available,Not Available,Not Available,507338.7,3756470.5
Manhattan,Multifamily Housing,210773,1929,Not Available,11788527.1,Not Available,Not Available,Not Available,Not Available,364900,2769032.5
Manhattan,Multifamily Housing,172368,1938,Not Available,952199.9,Not Available,Not Available,Not Available,Not Available,7307300.1,2159789.3
Manhattan,Multifamily Housing,118935,1911,Not Available,0,Not Available,0,Not Available,Not Available,5177944.3,1448857.9
Manhattan,Multifamily Housing,100435,1929,Not Available,4837866.1,Not Available,Not Available,Not Available,Not Available,186115.6,1472748.9
Manhattan,Multifamily Housing,435684,1929,Not Available,Not Available,15143704.1,Not Available,Not Available,Not Available,,5032259.4
Manhattan,Multifamily Housing,91303,1984,Not Available,1975069.8,Not Available,Not Available,Not Available,Not Available,5987399.7,1613261.8
Manhattan,Multifamily Housing,60025,1950,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3141746.2,673059.8
Manhattan,Multifamily Housing,70328,1907,Not Available,5882139.5,Not Available,Not Available,Not Available,Not Available,2361200.2,1539869.7
Manhattan,Multifamily Housing,115360,1922,Not Available,2406996,Not Available,4403085.2,Not Available,Not Available,,478171.5
Manhattan,Multifamily Housing,131124,1926,Not Available,Not Available,7295035.8,Not Available,Not Available,Not Available,195700,1838921.5
Manhattan,Multifamily Housing,133762,1909,Not Available,552000.1,Not Available,Not Available,Not Available,Not Available,4305148.5,1748266.1
Manhattan,Multifamily Housing,183821,1920,Not Available,Not Available,9410897.3,Not Available,Not Available,Not Available,,2379082
Manhattan,Multifamily Housing,89157,1917,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3746540.2,1194141.8
Manhattan,Multifamily Housing,52194,1924,Not Available,3506469.4,Not Available,Not Available,Not Available,Not Available,56669.7,732265.8
Manhattan,Multifamily Housing,96330,1924,Not Available,Not Available,Not Available,5175000.3,Not Available,Not Available,,1200925.1
Manhattan,Multifamily Housing,105940,1906,Not Available,4482656.2,Not Available,Not Available,Not Available,Not Available,485521,1488996.8
Manhattan,Multifamily Housing,73000,1950,Not Available,1647209.3,5158223.8,Not Available,Not Available,Not Available,,1161700.5
Manhattan,Multifamily Housing,211971,2010,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4254600.2,7825166.1
Manhattan,Multifamily Housing,387960,1939,Not Available,23537639.6,Not Available,Not Available,Not Available,Not Available,,5665848
Manhattan,Multifamily Housing,78071,1923,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5198372.9,2255423.3
Manhattan,Senior Care Community,171126,1926,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16783800.3,7771171.2
Manhattan,Multifamily Housing,88165,1926,Not Available,Not Available,5457334.2,Not Available,Not Available,Not Available,159591,1282473.4
Manhattan,Multifamily Housing,106395,1926,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,198015,1423017.3
Manhattan,Multifamily Housing,64968,1925,Not Available,Not Available,10423499.1,Not Available,Not Available,Not Available,57900,1025179.8
Manhattan,Multifamily Housing,158195,1924,Not Available,Not Available,3063868.4,5066498.8,Not Available,Not Available,143207,2406601.3
Manhattan,Multifamily Housing,57516,1911,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3570400.2,876199.8
Manhattan,Senior Care Community,238000,1940,Not Available,Not Available,17803181.2,Not Available,Not Available,Not Available,1434000,9036340.8
Manhattan,Multifamily Housing,156906,1938,Not Available,Not Available,4861245.3,Not Available,Not Available,Not Available,71656.7,1826317.4
Manhattan,Multifamily Housing,87129,1930,Not Available,Not Available,4520305.6,Not Available,Not Available,Not Available,151485.6,1242810.3
Manhattan,Multifamily Housing,159375,1923,Not Available,Not Available,819352,5124149.7,Not Available,Not Available,,1976904.3
Manhattan,Multifamily Housing,95958,1985,Not Available,Not Available,5959865.6,Not Available,Not Available,Not Available,130171.3,1081146.5
Manhattan,Multifamily Housing,207513,1927,Not Available,0,Not Available,0,Not Available,Not Available,10995792,3183545.1
Manhattan,Multifamily Housing,268800,1925,Not Available,5451165.7,Not Available,Not Available,Not Available,Not Available,9023819,4729280.4
Manhattan,Multifamily Housing,78611,1925,Not Available,Not Available,4820720.7,Not Available,Not Available,Not Available,81777,1180699.8
Manhattan,Multifamily Housing,55041,1989,Not Available,709250.9,Not Available,Not Available,Not Available,Not Available,2658552.3,755976.9
Manhattan,Multifamily Housing,60480,1900,Not Available,Not Available,4277011.2,Not Available,Not Available,Not Available,,890104.6
Manhattan,Multifamily Housing,53190,1922,Not Available,Not Available,4214449.8,Not Available,Not Available,Not Available,104135.4,1250456.6
Manhattan,Multifamily Housing,239764,1922,Not Available,6633287.4,Not Available,0,Not Available,Not Available,23987.5,2849948.4
Manhattan,Multifamily Housing,177669,1928,Not Available,6920837.6,Not Available,0,Not Available,Not Available,,2207336.7
Manhattan,Multifamily Housing,94289,1927,Not Available,Not Available,6071146.9,Not Available,Not Available,Not Available,177525,1196682.2
Manhattan,Multifamily Housing,162140,1913,Not Available,6524985,Not Available,0,Not Available,Not Available,,1899044.6
Manhattan,Multifamily Housing,64000,1920,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4176324.7,1924691.2
Manhattan,Multifamily Housing,78725,1901,Not Available,Not Available,6546435.5,Not Available,Not Available,Not Available,78600,815744.4
Manhattan,Multifamily Housing,83200,1911,Not Available,Not Available,4745160.7,Not Available,Not Available,Not Available,1489812.5,1533910.7
Manhattan,Multifamily Housing,80600,1933,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1394851.6,999444.2
Manhattan,Multifamily Housing,79655,1927,Not Available,5031825.2,Not Available,0,Not Available,Not Available,,1021726.4
Manhattan,Multifamily Housing,121313,1910,Not Available,5100824.5,Not Available,Not Available,Not Available,Not Available,1656600.2,1570935.4
Manhattan,Multifamily Housing,166723,1928,Not Available,8392235.6,Not Available,Not Available,Not Available,Not Available,826012.5,2195979.4
Manhattan,Multifamily Housing,153339,1929,Not Available,Not Available,7716435.6,0,Not Available,Not Available,,3247639.3
Manhattan,Multifamily Housing,76290,1900,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5474191.1,1250548.3
Manhattan,Multifamily Housing,203600,1951,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8120548.4,2445901.7
Manhattan,Hotel,63360,1910,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4162959.4,754511.2
Manhattan,Multifamily Housing,241980,1989,Not Available,Not Available,9548400.2,Not Available,Not Available,Not Available,,3170785.3
Manhattan,Multifamily Housing,183177,1931,Not Available,0,14169664.4,0,Not Available,Not Available,,4863723.1
Manhattan,Office,1518710,1971,Not Available,Not Available,Not Available,Not Available,Not Available,87515224.1,,95702589.2
Manhattan,Office,835026.4,1927,Not Available,9991750.6,Not Available,Not Available,Not Available,Not Available,191866406.4,13352287.4
Manhattan,Office,659122,1930,Not Available,Not Available,Not Available,Not Available,Not Available,24830093.2,737830,41075198.8
Manhattan,Office,38723,1954,Not Available,Not Available,Not Available,Not Available,Not Available,1017323.9,,9523759.2
Manhattan,Office,51100,1900,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2516599.9,1286460.5
Manhattan,Office,608530,1954,Not Available,Not Available,Not Available,Not Available,Not Available,24630035,23713.7,23304580.2
Manhattan,Hotel,63860,1962,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,24812850,3369373.9
Manhattan,Office,65748.6,1890,Not Available,Not Available,Not Available,Not Available,Not Available,3513.6,42103.6,845822.2
Manhattan,Office,150651,1922,Not Available,5146158.2,Not Available,Not Available,Not Available,Not Available,1203614,7791076
Manhattan,Financial Office,536391,1896,Not Available,Not Available,Not Available,Not Available,Not Available,7734180.6,553311,26029746.3
Manhattan,Office,174200,1926,Not Available,Not Available,Not Available,Not Available,Not Available,6957995,,14052228.5
Manhattan,Hotel,293966,2000,Not Available,Not Available,Not Available,Not Available,Not Available,19468778.5,3982400.4,17190042
Manhattan,Office,112490,1910,Not Available,Not Available,Not Available,4118264.9,Not Available,Not Available,403977.4,8563678.7
Manhattan,Hotel,62000,1903,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2178395.1,4092973.4
Manhattan,Office,45850,1930,Not Available,2763174,Not Available,Not Available,Not Available,Not Available,,2010193.2
Manhattan,Office,64690,1913,Not Available,Not Available,3460492,Not Available,Not Available,Not Available,1203623.4,3827950.3
Manhattan,Office,165800,1989,Not Available,Not Available,Not Available,Not Available,Not Available,4123831839,,14890785.1
Manhattan,Office,112000,1929,Not Available,Not Available,Not Available,3178905.9,Not Available,Not Available,,7306394.5
Manhattan,Office,1779804,1974,Not Available,Not Available,Not Available,Not Available,Not Available,132070412.7,,81888032.8
Manhattan,Office,88374,1985,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2450563.9,1022153.1
Manhattan,Office,333657,1962,Not Available,Not Available,Not Available,Not Available,Not Available,14819856.3,,18842998.4
Manhattan,Office,62458,1929,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1913462.4,2979232
Manhattan,Office,102553,1924,Not Available,2456758.6,Not Available,Not Available,Not Available,Not Available,1700,6003666.8
Manhattan,Office,55138,1936,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2881535.4,2620091.9
Manhattan,Office,97780,1924,Not Available,Not Available,3001764.3,Not Available,Not Available,Not Available,,8286616.5
Manhattan,Office,159559,1925,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5397771,8211077.2
Manhattan,Office,91515,1928,Not Available,Not Available,Not Available,Not Available,Not Available,3322326.6,34832.3,5195754.1
Manhattan,Office,63508,1963,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1803622.5,4624522.1
Manhattan,Office,101422,1927,Not Available,Not Available,3810614.4,Not Available,Not Available,Not Available,75800,5026688.4
Manhattan,Office,58996,1932,Not Available,2326866.5,Not Available,Not Available,Not Available,Not Available,346822.6,4103134.6
Manhattan,Office,343328,1927,Not Available,26727288.3,Not Available,Not Available,Not Available,Not Available,7944.1,26915779.8
Manhattan,Office,86273,1987,Not Available,Not Available,Not Available,Not Available,Not Available,913410,,6434296.6
Manhattan,Office,60000,1918,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,237251.6,3022086.5
Manhattan,Parking,42836,1966,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,749210.3
Manhattan,Office,58200,1930,Not Available,2566188.8,Not Available,Not Available,Not Available,Not Available,1132096.8,3092067
Manhattan,Office,118134,1930,Not Available,3697737.5,Not Available,Not Available,Not Available,Not Available,4879368,8914491.1
Manhattan,Office,226363,1964,Not Available,Not Available,Not Available,Not Available,Not Available,16117312.1,,10900183.3
Manhattan,Multifamily Housing,127038,2006,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6481345.3,8273192.4
Manhattan,Other - Entertainment/Public Assembly,155970,1939,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,87409.7,14950459.4
Manhattan,Office,90908,1932,Not Available,Not Available,Not Available,Not Available,Not Available,5031009.9,,9985387.7
Manhattan,Office,97900,1939,Not Available,Not Available,Not Available,Not Available,Not Available,7647543.3,,11478892.2
Manhattan,Office,623000,1947,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,6916806.9
Manhattan,Office,333698,1949,Not Available,Not Available,Not Available,Not Available,Not Available,5665987.3,,20883875.5
Manhattan,Office,875000,1965,Not Available,Not Available,Not Available,Not Available,Not Available,46084916.2,,62436895
Manhattan,Museum,41475,1989,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,6260223.9
Manhattan,Office,765771,1986,Not Available,Not Available,Not Available,Not Available,Not Available,6056729.4,,57651817.8
Manhattan,Office,1417972,1957,Not Available,Not Available,Not Available,Not Available,Not Available,65838003.4,,115673086.9
Manhattan,Multifamily Housing,210864,2012,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15132727.8,18905786
Manhattan,Office,169672,1957,Not Available,Not Available,Not Available,Not Available,Not Available,8843808.9,,9127483.7
Manhattan,Multifamily Housing,553300,1982,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15940456.6,15557629.8
Manhattan,Hotel,265002,1926,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,38032859.2,15353534.5
Manhattan,Multifamily Housing,76628,1946,Not Available,Not Available,Not Available,Not Available,Not Available,2400966.6,,1286300
Manhattan,Multifamily Housing,99000,1939,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3938730.5,1740306.8
Manhattan,Multifamily Housing,209137,1935,Not Available,Not Available,Not Available,Not Available,Not Available,14906210.7,1971079.8,4414510.6
Manhattan,Hotel,200000,1899,Not Available,Not Available,Not Available,Not Available,Not Available,16306.6,2101510.7,12449749.7
Manhattan,Hotel,274025,1902,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,,23530867
Manhattan,Office,74523,1987,Not Available,Not Available,Not Available,Not Available,Not Available,943307.8,,5851131.5
Manhattan,Office,524080,1964,Not Available,Not Available,Not Available,Not Available,Not Available,29200502.2,0,23529151.9
Manhattan,Multifamily Housing,115000,1962,Not Available,Not Available,Not Available,Not Available,Not Available,10331034.2,,4053681
Manhattan,Office,175541,1971,Not Available,Not Available,Not Available,Not Available,Not Available,23430080,,17845767
Manhattan,Multifamily Housing,180000,1963,Not Available,Not Available,Not Available,Not Available,Not Available,14002769.3,358644,3428348.7
Manhattan,Office,110808,1920,Not Available,Not Available,Not Available,Not Available,Not Available,3416929.7,,3353665.1
Manhattan,Hotel,57707,1999,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4703500,5414161.6
Manhattan,Office,81174,1916,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,6349247
Manhattan,Office,527232,1972,Not Available,Not Available,Not Available,Not Available,Not Available,16652267.2,27254618.4,58019699.7
Manhattan,Office,61971,1926,Not Available,Not Available,Not Available,Not Available,Not Available,2106647.7,2044900,4087721.4
Manhattan,Multifamily Housing,94127,2009,Not Available,Not Available,Not Available,Not Available,Not Available,3298281.8,,4404189.4
Manhattan,Office,111008,1928,Not Available,Not Available,Not Available,Not Available,Not Available,4568164.8,1187.1,9288696.1
Manhattan,Office,79474,1923,Not Available,Not Available,Not Available,Not Available,Not Available,1712489,,3270176.7
Manhattan,Office,1668615,1971,Not Available,Not Available,Not Available,Not Available,Not Available,59019499.3,1526400,82585900.3
Manhattan,Office,58020,1970,Not Available,Not Available,Not Available,Not Available,Not Available,1643250.7,,2243886.3
Manhattan,Office,83264,1948,Not Available,Not Available,Not Available,Not Available,Not Available,2839840.2,961900,4501110.8
Manhattan,Multifamily Housing,126454,1926,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7712948.3,5851540
Manhattan,Multifamily Housing,204841,1969,Not Available,Not Available,Not Available,Not Available,Not Available,21893243.3,299057.6,5419925.5
Manhattan,Multifamily Housing,181221,1946,Not Available,18340628,Not Available,Not Available,Not Available,Not Available,7852795.8,11355199
Manhattan,Multifamily Housing,55300,1926,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4345932.5,877040.6
Manhattan,Multifamily Housing,96278,1963,Not Available,Not Available,4617250.2,Not Available,Not Available,Not Available,93800,2507820
Manhattan,Medical Office,58508,1921,Not Available,2799214.8,Not Available,Not Available,Not Available,Not Available,,3204994
Manhattan,Multifamily Housing,80293,1901,Not Available,Not Available,Not Available,8185756.6,Not Available,Not Available,2634800,5132771.4
Manhattan,Multifamily Housing,356791,2007,Not Available,Not Available,Not Available,Not Available,Not Available,31323457.7,4828301.7,67744007.9
Manhattan,Office,190221,1988,Not Available,Not Available,Not Available,Not Available,Not Available,2694010.5,,13718765.2
Manhattan,Hotel,74485,1990,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7929800.5,3276075.9
Manhattan,Office,57653,1913,Not Available,2256327.6,Not Available,Not Available,Not Available,Not Available,,1995225
Manhattan,Office,868350,1948,Not Available,Not Available,Not Available,Not Available,Not Available,16142473.3,,45423271
Manhattan,Hotel,67140,1910,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3232000,4056185.5
Manhattan,Office,171755,1923,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9819635.1,7063764.4
Manhattan,Office,107236,1910,Not Available,5377211.6,Not Available,Not Available,Not Available,Not Available,477445.2,4786212.9
Manhattan,Hotel,182716,1914,Not Available,Not Available,Not Available,Not Available,Not Available,11477651.6,712435.5,13950650.6
Manhattan,Office,163743,1971,Not Available,Not Available,Not Available,Not Available,Not Available,7488063,,8813046.4
Manhattan,Office,629814,1981,Not Available,Not Available,Not Available,Not Available,Not Available,21768426.8,0,61478495.3
Manhattan,Office,149292,1917,Not Available,9514876.4,Not Available,Not Available,Not Available,Not Available,347008.1,7308496.5
Manhattan,Office,1047403,2003,Not Available,Not Available,Not Available,Not Available,Not Available,29862945.6,718600,99605099.6
Manhattan,Office,156989,1916,Not Available,7511294.5,Not Available,Not Available,Not Available,Not Available,588338.7,6820733.5
Manhattan,Office,256200,2006,Not Available,Not Available,Not Available,Not Available,Not Available,7755729.5,,20535057.5
Manhattan,Office,317786,1969,Not Available,Not Available,Not Available,Not Available,Not Available,18905497.7,,14926795.3
Manhattan,Office,799473,1963,Not Available,Not Available,Not Available,Not Available,Not Available,12148457.4,,49982038.6
Manhattan,Financial Office,118008,1915,Not Available,7622754.7,Not Available,Not Available,Not Available,Not Available,21600,12017842.1
Manhattan,Office,446650,1928,Not Available,Not Available,Not Available,Not Available,Not Available,16484317,1730500,22312542.5
Manhattan,Office,750000,1921,Not Available,Not Available,Not Available,5385000.3,Not Available,Not Available,,35795973.5
Manhattan,Office,892239,1914,Not Available,Not Available,Not Available,Not Available,Not Available,1783125,,60158212.7
Manhattan,Hotel,65000,1989,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,956409.7,6086756.4
Manhattan,Office,242426,1959,Not Available,Not Available,Not Available,Not Available,Not Available,4273326.2,,17330225.5
Manhattan,Office,121181,1927,Not Available,Not Available,Not Available,Not Available,Not Available,1727320.8,,5269154.1
Manhattan,Office,79080,1915,Not Available,Not Available,Not Available,Not Available,Not Available,1468713.3,6403.3,12177049.8
Manhattan,Office,147577,1914,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13846876.9,11754459.9
Manhattan,Office,380775,1922,Not Available,Not Available,Not Available,Not Available,Not Available,14955482.9,,18118225.4
Manhattan,Office,62035,1929,Not Available,Not Available,Not Available,Not Available,Not Available,3151964.9,3713430,5308930.4
Manhattan,Office,1314590,1928,Not Available,Not Available,Not Available,Not Available,Not Available,39323519.9,4100,65791554.8
Manhattan,Office,501879,1927,Not Available,Not Available,Not Available,Not Available,Not Available,13790796.9,,21453345.7
Manhattan,Hotel,678297,1924,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34503333.6,25156811.5
Manhattan,Office,80416,1958,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4406426,3822728.9
Manhattan,Office,34137,1955,Not Available,Not Available,Not Available,Not Available,Not Available,2826784.3,,13951220.6
Manhattan,Office,326106,2003,Not Available,Not Available,Not Available,Not Available,Not Available,7024445.5,,25154598.1
Manhattan,Office,310129,1993,Not Available,Not Available,Not Available,Not Available,Not Available,10510593.6,,24321294.2
Manhattan,Office,126615,1951,Not Available,Not Available,Not Available,Not Available,Not Available,3482840.5,,5021371.3
Manhattan,Office,113974,1928,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1248100,6182543.4
